Tickersymbol,YahooTicker,YahooExchange,CompanyName
AAK,AAK.ST,Stockholm Stock Exchange,Yahoo Finance
ABB,ABB.ST,Stockholm Stock Exchange,Yahoo Finance
ALIF B,ALIF-B.ST,Stockholm Stock Exchange,Yahoo Finance
ANOD B,ANOD-B.ST,Stockholm Stock Exchange,Yahoo Finance
ADDT B,ADDT-B.ST,Stockholm Stock Exchange,Yahoo Finance
AFRY,AFRY.ST,Stockholm Stock Exchange,Yahoo Finance
ALFA,ALFA,US Markets (default),Yahoo Finance
ALLEI,ALLEI.ST,Stockholm Stock Exchange,Yahoo Finance
ARION SDB,ARION-SDB.ST,Stockholm Stock Exchange,Yahoo Finance
ASKER,ASKER.ST,Stockholm Stock Exchange,Yahoo Finance
ASMDEE B,ASMDEE-B.ST,Stockholm Stock Exchange,Yahoo Finance
ASSA B,ASSA-B.ST,Stockholm Stock Exchange,Yahoo Finance
AZN,AZN,US Markets (default),Yahoo Finance
ATCO A,ATCO-A.ST,Stockholm Stock Exchange,Yahoo Finance
ATCO B,ATCO-B.ST,Stockholm Stock Exchange,Yahoo Finance
ATRLJ B,ATRLJ-B.ST,Stockholm Stock Exchange,Yahoo Finance
ALIV SDB,ALIV-SDB.ST,Stockholm Stock Exchange,Yahoo Finance
AZA,AZA,US Markets (default),Yahoo Finance
AXFO,AXFO.ST,Stockholm Stock Exchange,Yahoo Finance
BALD B,BALD-B.ST,Stockholm Stock Exchange,Yahoo Finance
BEIJ B,BEIJ-B.ST,Stockholm Stock Exchange,Yahoo Finance
BETS B,BETS-B.ST,Stockholm Stock Exchange,Yahoo Finance
BETCO,BETCO.ST,Stockholm Stock Exchange,Yahoo Finance
BILI A,BILI-A.ST,Stockholm Stock Exchange,Yahoo Finance
BILL,BILL,US Markets (default),Yahoo Finance
BIOA B,BIOA-B.ST,Stockholm Stock Exchange,Yahoo Finance
BIOT,BIOT.ST,Stockholm Stock Exchange,Yahoo Finance
BOL,BOL,US Markets (default),Yahoo Finance
BONEX,BONEX.ST,Stockholm Stock Exchange,Yahoo Finance
BRAV,BRAV,US Markets (default),Yahoo Finance
BURE,BURE.ST,Stockholm Stock Exchange,Yahoo Finance
CAMX,CAMX,US Markets (default),Yahoo Finance
CAST,CAST,US Markets (default),Yahoo Finance
CATE,CATE.ST,Stockholm Stock Exchange,Yahoo Finance
CORE A,CORE-A.ST,Stockholm Stock Exchange,Yahoo Finance
CORE B,CORE-B.ST,Stockholm Stock Exchange,Yahoo Finance
CORE D,CORE-D.ST,Stockholm Stock Exchange,Yahoo Finance
CORE PREF,CORE-PREF.ST,Stockholm Stock Exchange,Yahoo Finance
DOM,DOM,US Markets (default),Yahoo Finance
ELUX A,ELUX-A.ST,Stockholm Stock Exchange,Yahoo Finance
ELUX B,ELUX-B.ST,Stockholm Stock Exchange,Yahoo Finance
EPRO B,EPRO-B.ST,Stockholm Stock Exchange,Yahoo Finance
EKTA B,EKTA-B.ST,Stockholm Stock Exchange,Yahoo Finance
EMBRAC B,EMBRAC-B.ST,Stockholm Stock Exchange,Yahoo Finance
ENGCON B,ENGCON-B.ST,Stockholm Stock Exchange,Yahoo Finance
EPI A,EPI-A.ST,Stockholm Stock Exchange,Yahoo Finance
EPI B,EPI-B.ST,Stockholm Stock Exchange,Yahoo Finance
EQT,EQT,US Markets (default),Yahoo Finance
ERIC A,ERIC-A.ST,Stockholm Stock Exchange,Yahoo Finance
ERIC B,ERIC-B.ST,Stockholm Stock Exchange,Yahoo Finance
ESSITY A,ESSITY-A.ST,Stockholm Stock Exchange,Yahoo Finance
ESSITY B,ESSITY-B.ST,Stockholm Stock Exchange,Yahoo Finance
EVO,EVO,US Markets (default),Yahoo Finance
FABG,FABG.ST,Stockholm Stock Exchange,Yahoo Finance
FPAR A,FPAR-A.ST,Stockholm Stock Exchange,Yahoo Finance
FPAR D,FPAR-D.ST,Stockholm Stock Exchange,Yahoo Finance
FOI B,FOI-B.ST,Stockholm Stock Exchange,Yahoo Finance
FNOX,FNOX.ST,Stockholm Stock Exchange,Yahoo Finance
GETI B,GETI-B.ST,Stockholm Stock Exchange,Yahoo Finance
GRNG,GRNG.ST,Stockholm Stock Exchange,Yahoo Finance
HM B,HM-B.ST,Stockholm Stock Exchange,Yahoo Finance
SHB A,SHB-A.ST,Stockholm Stock Exchange,Yahoo Finance
SHB B,SHB-B.ST,Stockholm Stock Exchange,Yahoo Finance
HEM,HEM,US Markets (default),Yahoo Finance
HEXA B,HEXA-B.ST,Stockholm Stock Exchange,Yahoo Finance
HPOL B,HPOL-B.ST,Stockholm Stock Exchange,Yahoo Finance
HMS,HMS,US Markets (default),Yahoo Finance
HOLM A,HOLM-A.ST,Stockholm Stock Exchange,Yahoo Finance
HOLM B,HOLM-B.ST,Stockholm Stock Exchange,Yahoo Finance
HUFV A,HUFV-A.ST,Stockholm Stock Exchange,Yahoo Finance
HUSQ A,HUSQ-A.ST,Stockholm Stock Exchange,Yahoo Finance
HUSQ B,HUSQ-B.ST,Stockholm Stock Exchange,Yahoo Finance
INDU A,INDU-A.ST,Stockholm Stock Exchange,Yahoo Finance
INDU C,INDU-C.ST,Stockholm Stock Exchange,Yahoo Finance
INDT,INDT.ST,Stockholm Stock Exchange,Yahoo Finance
IPCO,IPCO.ST,Stockholm Stock Exchange,Yahoo Finance
INVE A,INVE-A.ST,Stockholm Stock Exchange,Yahoo Finance
INVE B,INVE-B.ST,Stockholm Stock Exchange,Yahoo Finance
JM,JM,US Markets (default),Yahoo Finance
KINV A,KINV-A.ST,Stockholm Stock Exchange,Yahoo Finance
KINV B,KINV-B.ST,Stockholm Stock Exchange,Yahoo Finance
LAGR B,LAGR-B.ST,Stockholm Stock Exchange,Yahoo Finance
LATO B,LATO-B.ST,Stockholm Stock Exchange,Yahoo Finance
LIFCO B,LIFCO-B.ST,Stockholm Stock Exchange,Yahoo Finance
LIAB,LIAB,US Markets (default),Yahoo Finance
LOOMIS,LOOMIS.ST,Stockholm Stock Exchange,Yahoo Finance
LUND B,LUND-B.ST,Stockholm Stock Exchange,Yahoo Finance
LUG,LUG.ST,Stockholm Stock Exchange,Yahoo Finance
LUMI,LUMI,US Markets (default),Yahoo Finance
MCOV B,MCOV-B.ST,Stockholm Stock Exchange,Yahoo Finance
MIPS,MIPS,US Markets (default),Yahoo Finance
MTRS,MTRS,US Markets (default),Yahoo Finance
MYCR,MYCR.ST,Stockholm Stock Exchange,Yahoo Finance
NCAB,NCAB,US Markets (default),Yahoo Finance
NCC A,NCC-A.ST,Stockholm Stock Exchange,Yahoo Finance
NCC B,NCC-B.ST,Stockholm Stock Exchange,Yahoo Finance
NEWA B,NEWA-B.ST,Stockholm Stock Exchange,Yahoo Finance
NIBE B,NIBE-B.ST,Stockholm Stock Exchange,Yahoo Finance
NOLA B,NOLA-B.ST,Stockholm Stock Exchange,Yahoo Finance
NDA SE,NDA-SE.ST,Stockholm Stock Exchange,Yahoo Finance
